Review,Rating
application to Bhaut acha hai but iska primium kbhi bhi na le kyuki aagr apne ek baar iska primium le liye to apke account se automatic balance kat ho jayega mere account se 1 se 2 baaar aisa hoya hai is karke me ap logo ko isko na download karne ko Salah doga jab mera balance kat hoya to maine kuku fm ke customer care contact Kiya to unka bhi response kuchh achcha nahin tha,-1
Very gud,1
nice,0
it's froud app they had no email and app is not working properly eat ours money like cancer,-1
worst,-1
super,1
It's very good app,1
Nice story In this app,1
Ur app is absolutely irritating me I'm having enough coins on my account but able to unlock new audio series called contract kadhal u guy keep promoting this free trial which I'm not interested my money will be waste if don't use those coins... plz don't force us to use that free trial... now the updated version of your app is like only if we use those free trial we will be able to listen the any series... pocket fm is way better that yours... you guys are forcing me to u install your app...,-1
ye app humne delet kr di fir bhi har month paise 299 kat rhe hum use bhi nhi kr rhe bahut bekar app he plz ab se nhi kte paise,-1
Very nice app,1
So good,0
auto debit of money cannot be cancelled by user. every month Rs.99 is automatically debited from account. still not successful in get out of the loop. be careful about downloading the app.,-1
good,1
Nice app,1
Everytime i tends to renew my plan for a year it goes to auto setup and getting failed of transaction also the prize getting increased for listening audio books too much cost,-1
ye bahut gatiya hai,-1
I will listen,1
bad app no free,-1
mast hai bhai,1
Good luck you can you please send me the opportunity to meet you and the opportunity and would u take your time with your username user full time job facilities to meet award winning your time and consideration the first one is better for you please send the money to pay for you and your username and your family and friends to pay a deposit you please send me the first one is better than the first one is better than the first one is better than the first one is better than the first one is behhh,0
good story,1
Good,1
very good,1
nice,1
Nice,1
pablic ko bebkop bana tha h Autopay ke nam par,-1
nice game,-1
verry nice.,1
nice,1
Mast,1
money lutne ki app,-1
good,1
good,1
Fab,1
beast app,1
Nice,1
greatest story,1
Awesome app,1
Exlent,1
best audio books for kuku FM,1
Nice,1
Sunke achha laga,1
Very good,1
exllent,1
good,0
Worst app you cancle to atopay,-1
I love it,1
good experience,1
this app is vaeiy good,1
"fraud app, no use only you will lose the money in the name subscription that's it. im telling you no usee... no proper customer care support",-1
why you are not giving the free trial without giving 299Rs,1
J book book j,1
Happy best app,1
Bad,-1
Nice app,1
"Worst app for audiobooks, no proper audiobooks available on this platform, there are some random topics on which random people aelre saying anything. Will not recommend this app to anyone.",-1
Superb,1
super,1
Super,1
Awesome,1
nice,1
good,1
exilent,1
nice story,1
Poo,1
yeah this app very useful in my life lessons,1
please don't be install froud,-1
Good app,1
Nice app,1
very nice,1
"Be cautious of Kuku FM's free trial! They advertise a 2 trial but automatically debit 299 from your account with auto-pay enabled by default. To avoid this hidden fee, check and disable auto-pay in your UPI app before starting the trial. I lost 299 due to this sneaky practice and received no notification.",-1
ghatiya app,-1
"good app, keep adding more audio books",1
yas,1
very bad survice in this app,-1
Enakku tamil naaval padikka pudikkum but time illa athunala than kuku fm kekka arapichen but very useful romba pudichirukku athula Vara details I'm love kuku fm,1
l like to kuku fm because of her storys and sound qulity,1
Your app was so good i think I want to buy your app I offer you 1bilion to this would you give it to me,1
very bad,-1
nice,1
Nice,1
best,1
All good,1
Good,1
I downloaded this app only once and then uninstalled it. Today 299 yan was taken from the account book. This is wrong yanakku I want that amount.Otherwise I will have to file station complaints,-1
Nice app,1
please update some more books,1
good gddsd,1
It's a very bad story don't install it,-1
this is a fake app that is taken automatically and takes the money cancels the membership and does not give my money back this is a fraud app not take any response,-1
Very poor quality and sound is very poor quality,-1
nice,1
good,1
Good,1
"Scam alert! This app promises a 7-day trial, but forces auto-payment of 2 after installation. Refused to function without enabling auto-pay. Worst experience ever. Don't waste your time or money. ! 7 , 2 . . . .",-1
need more books,0
Good app,0
nice App,0
Nice,1
useless aap,-1
Gandu app froude app myy 299 amount cut 299,-1
You must work on some more popular books because there are so many books which are great but still not in your list ...,1
best,1
When im using the app Feel relax and good,1
Great app,1
Very good app I like it sooo much... My friend is kuku fm,1
plz refund my payment other wise I will case in fake app Mera payment wapus kroo 499,-1
super ok,1
this app cheater for no back my refund this app is fake,-1
"its amazing, can you provide the ""notes"" feature again",1
Cancel,-1
Good app,1
"autopay ,",-1
Nice,1
the worst app I was using it doesn't help to get back my refund very regret by using this app,-1
Nc app,1
"""Kuku FM is an excellent audio platform offering a wide variety of content, from informative audiobooks to engaging stories. The sound quality is fantastic, and the user interface is simple and appealing. It's the perfect way to save time and learn something new. Truly deserving of 5 stars!""",1
chirkut free me na dekho,-1
supar,1
best app is the kuku app,1
worst app -,-1
good,1
stopauto pay money .. plz,-1
Worst ...,-1
good,1
It is the best application for any person to get information about business or history.,1
mind blowing,1
very worest app payment taking without my permissions iam not giving autopay but taking amount 399 subscribe tion amount ..this not fare,-1
very useful app.,1
wow nice good,1
Good,1
nice,1
Froud kar rahe hai ye log Costumer k sath Inka 1 rs m 7 days ka plan liya tha sirf trayl k liye Bina call k inhone ac se 299 ko didect kar diye bakans hai pehle call kar k puchna chahiye tha ki aap plan aage lena chahte hai ki ni,-1
west app try this no video is coming only old model kucu fm don't try any one west aap,-1
super,1
Simply superb,1
This is value for money not use warst app,-1
Awesome I like this story,1
This is the best platform to listen to the story :- @kuku_fm,1
nice app and good app,1
good,1
not aa good,-1
good,1
very bad experience I lost my money,-1
7 day's free trial bol kar paise maangte h,-1
Worst app app uninstalled but suddenly amount cut in my account,-1
very very most app,-1
nice stories,1
Is app m auto pay ka option bhot bekar h,-1
u are froad,-1
Good interment,1
nise video app,1
super,1
Good hi,1
Good aap,1
"worst app.... dobbulu dobbadanike.ee app, chala mandi money poyindi e app valla evaru ee app download chesukovaddu, refund kuda padadam ledhu.... bokkalo app..... worst bokka app",-1
"Don't install waste apps.. because directly direction of tiwara count, no OTP no access directly deduction....",-1
Poor,-1
nice,1
Good experience,1
Best app,1
world most worest app first sed 20 but next automatic debited 700 rs plz don't use this app,-1
super,1
Nice,1
fraud company,-1
jivan badle dega ye apka,1
great stories,1
Auto payment band kro,-1
It's a very Good App to increase knowledge.,1
nice,1
"Im a subscribed user and wanted to share a concern regarding the platform. I've noticed that many audio stories are left incomplete, and even after waiting for over a month, new episodes are still not updated. This has been quite disappointing and doesn't justify the subscription cost.As a listener, its frustrating to start a story and not have the opportunity to finish it. I hope the team can look into this seriously and ensure timely completion or at least communicate expected timelines.",-1
super,1
awesome experience,1
Good Apps,1
I am very happy listen to kuki fm,1
Nice,1
reseved my 7 day trial,1
Bakvas app,-1
very good,1
Free Nahi Hai Kuch Bhi Sunne Ke Liye VIP Profile Ka Hona Jaruri Hai,-1
nice,1
Very good keep listening,1
one of the best reading book app Koko FM,1
Best,1
Figerprint asses to bad,-1
Baki rakam jama nahi ki jati,-1
ato pey,-1
kuku fm very scam application 2 its fake but reality 499 subscription no refund option please safe this app,-1
"A very good initiative.. Sometimes background music is annoying... Instead of asking payment you can map advertisements like Spotify. Because, people who can't afford them, can also listen in free.",0
kuku FM music nice super,1
useless,-1
Not best,-1
No free anything,-1
Nice,1
mujhe mere pse wapis chahiye mne koi FM nhi chlaya h,-1
hear this once.. and Chang ur life,1
But we have to pay money.,0
nice,1
"Good audio books app , great knowledge bilding meterial",1
bekar,-1
I took a trial pack of week and they jus auto payed depite my AC without any confirmation you asked just pay 2 RS wich was refundable then how did you depit the amount of 399RS in my account . I did not take any package of your app. kindly refund it,-1
Nice story telling,1
Best,1
good,1
Good aap,1
spectacular,1
should be free,-1
best story app,0
Discusting app,-1
nice,1
very bad,-1
it makes me pay,-1
vary good,1
We want to first subscribe to hear the audio,-1
I love to listen thriller stories best app,1
good,1
Nice great kuku fm,0
nice,1
very nice,1
awesome story,1
Mai suna hi nahi ok,1
Bad app,-1
good,1
Excellent FM,1
very good,1
wanderful,1
very bad app iss toh 1000tym better pocket fm hai yar wo try karan ka paise toh charger nahi kar aur iski I'd an story line very bad totally tym westing,-1
excellent,1
Customer service is not a good,-1
good,1
give free coins,-1
Nice app,1
Good,1
Never Download kuku FM if you don't want to pay,-1
Good,1
Nice,1
"This application is fraud because when I installed it, I was asking for the first payment only and after almost 1 week of paying Katwa, it is automatically charging 299 rupees from my phone, so stay safe from such applications and stay alert. And do not pay attention to any wrong application, you will be asked to pay the first two rupees.",-1
good,1
Good,1
Overall good bt many of Books no available.,1
Very great app very good story,1
Good so far.,1
Awasom,1
It says just 2 rupees but now my ac was debited with autopay of 299 ......worse,-1
this is very nice plateform,1
good,1
Very nice,1
nice,1
Best apppppp,1
Okok,0
best app,1
good,1
nais,1
Froud app,-1
Nice,1
This is amazing,1
very nice app,1
Story teller very excited,1
good,1
very nice,1
"The subscription is a bit too much. I was thinking of getting the yearly pass, but 1K feels a little high. I think something around 600 or 700 would be more reasonable",-1
good looking,1
listen,1
nice,1
very worst app,-1
it charge twice from automatically payment option,-1
useless chugli app,-1
without information.... this app debit amount.. this not right,-1
Good,1
I dnt knew even it's debit from account not even used just installed today 299 rs debited during financial problem only not fair this I want uninstall now kindly credit amount back pls 299 is very important for uninstalled.,-1
Bekar time pas,-1
They don't ask when cut your money cheater,-1
very nice,1
Worst app cheat fraud,-1
nice,1
amazing,1
Excellent,1
Nice Stoties,1
Has great set of audio books which helps you grow in different areas,1
Excellent,1
"I Love KuKu FM , very exciting episode I love it.",1
Worst app,-1
Fantastic,1
"Wonderful stories, wonderful audio",1
good,1
jo bhi inki series dekh kar aaya h install krne woh Mat krna install kiunki jo humne Insta or face book p dekha h wesa nhi h balki animated photo zoom out or zoom in hori h bss or story ki trh khani btayi jari h ..bekar h scam,-1
best best app for audio books all types of,1
Awesome,1
sabse bekar hai Download na Karen,-1
vary good,1
Nice one,1
Super love storys,1
nice,1
Worst app... Just for sale of money,-1
good malayalam voice,1
Very useful and entertainment packed. We need short stories also often it goes to offline. Why?,1
Good,1
most beautiful,1
very good speach,1
free me thik h,1
"I just paid for the three-month payment, but I could not connect it for nearly a day and could not contact customer support.",-1
this is not free aapp,-1
good story,1
nice,1
janta nahi tha 2 rs deke subscription lene se meri account se auto 399 rs kat lega,-1
do not install this app if use thia app this fraud company your with out parmision auto matlicly cut your 400 rupess in phone pay auto pay in with out parmision pls don't instal this fraud app,-1
Good,1
nice,1
nice story,1
very nice,1
I loved,1
super,1
nice,1
Awesome,1
good experience,1
mast app hai,1
i like it,1
Super,1
nirmal,1
bad experience,-1
veri good,1
ok good,1
Most adventurous and mysterious stories. I like it very much.,1
Stories are good specialy dil bechara,1
Best app,1
best,1
"Hi users, Kindly don't download/use this kukufm , they are charging premium amount without our knowledge from to our e-mandate bank account , that's why they are asking 1 rs payment for first time from our bank account and they are returning 1 rs. But after that we forgot about that if not activate premium , but they are charging 299 rs after few days without any information, I was charged 299 rs yesterday, I found it today and I asked them refund but they are refused . So don't download",-1
Love this app very mich,1
Kuku fm today rs 399 cutting my account and not back my balance and already unstallation kuku fm it bad app Bad bad,-1
Good but coin recharge is bad,1
best app hai yrr,1
such a worst application i have ever had. it's deduct amount from account automatically,-1
I like it,1
Incomplte story of Sampoorna Ramayana story only 74 episode is thr. Plz upload remaing episodes.,1
This is provided best story,1
Good,1
Nice,1
Mai 414 Episode sun chuka hu or ab 4 episode par day dene lage hai ye sahi nhi hai to es tarh to ek hi kahani poore manth me khatam nhi hogi Rs.299 fir to ye bahut mahga hua,-1
Best app,1
auto payment is so bad,-1
Thank you,1
Good,1
"The app was working fine for first few months but now it continuously showing a ""technical issue while playing audio"" it's so irritating..",-1
good,1
Not bad,0
Amazing,1
super,1
good,1
nice,1
awesome,1
Super,1
ghatiya app .,-1
I have to do a lot of work and I don't get for myself but this is the place where I can get the time for myself,1
my money is deducted without use the app,-1
This app is amazing,1
waste app it takes money from our accounts with auto pay option so be careful,-1
awesome,1
wsta dot do premium 2RS because automatic debit your amount next 15 days so don't by this app wsta app,-1
nice,1
I am really impressed by Kuku FM. I have sight problem. It helps me lot to go through the great books and books in my interest.,1
After subscribing also you need to spend after coins to listen story,-1
very knowledgeable app,1
good,1
This app take the money from bank account without my permission its is spam i lost my rupees 600 in this app please return my money,-1
nice,0
nice,1
Good,1
Stop erotic kannada ads on YouTube. Earn money in a right way.,-1
Wonder full,1
super,1
Good,1
good,1
very very bad Audio app,-1
Fraud app and,-1
wow,1
Nice,1
Without confirmation debited amount very bad appa don't install this kind appa you just lose your money,-1
dhokh,-1
nice,1
good,1
Best app,1
thank you,1
kuku FM mein hamara Paisa kaat liya humne to Charminar aaya tha hamare paise wapas karo,-1
wow,1
Nice,1
the subscription amount is a bit expensive for a podcast website,0
I am very interest secret billionary,1
Excellent story app I'm very impressed by story,1
super,1
very useful,1
good,1
Excellent stories,1
It s good but like gold diggers,-1
Good,-1
I don't like your auto debit method,-1
Superb,1
This is good appp,1
very good app,-1
Amesing,1
good,1
Excellent Audio book app,1
Super super nice experience,1
Nice app,1
nice,1
Very nice,1
good,1
"Application is not working properly, want to cancel membership but not getting cancell.",-1
I enjoyed by listening kuku fm,1
Good,1
nice app,1
not everything is available,-1
Bekar he ye kukufm frod karta mere 299 rupe kat ye,-1
"Great app, easy to use, lots of content.",1
nice kuku fm app amezing kahaniya,1
Good,1
very bad kuku fm chor he logo ki bina permission ke unka pesa account se chori karta he is app ko band kar diya jaye or mera amount lotaya jaye varna me me complaint karugi..,-1
Good,1
Bad,-1
good,1
Very bad,-1
Nice,1
No interest this app,-1
nice,1
Without my permission recharge done automatically,-1
Very helpful to Publics,0
very nice,-1
l love it,1
emotions story,1
Good topics,1
No. 1 app for book audio,1
sincere,1
Good,1
Best learner,1
super,1
Good,1
good,1
Good,1
money weast enko bas automatic payment ki jarurat h,-1
Very good,1
Very nice,-1
"Nice, app",1
So favourite app,1
good,1
Super,1
Good,1
Good,1
Ok ok,-1
Story was very interesting,1
Best,0
Nice app,1
Kuku fm charges is very high for normal peoples because of uninstalling,-1
nice,1
Bahot hi achha hai bailog es app mujhko bahot achchha lag raha hai,1
Mujhe dhan wapis chahiye,-1
good,1
good,1
Wonderful app,1
good app,0
exllent,1
very good,1
very good app to knowledge,1
It's the best Audio app I have ever heard,1
Nice and wonderful audio clips are found in this app.,1
Very nice,1
Fabulous,1
free mein kuchh nahin ! aise to achcha YouTube hai,-1
super,1
Sir esh app se mere paise kat gye h please mere paise vapas kar do please mujhe arjent kam h please mujhe mere paise vapas kar do please sir me wait karunga apne paiso ka please,-1
good care,1
Dhdetgg,-1
nice,1
Good app,1
the ad shows a video series... I watched the whole and and wanted to continue.. but in the app it was completely different!?,-1
kuch nahi uska HCl,1
Very usefull and enjoyable hobby,1
Nice,1
intresting,1
"Fake kuku FM , RS 399/- autopament",-1
Kamal ka suow hai,1
Brooo evaru eee app nii download chesukokandi. Enduku kante ee app download chesaka 2 rupees subscribe chesko antaruuu for 1 week ki ... One week subscription aipoyaka ee app vallu auto subscription chestaru.. mee phone pay password adugadu auto-pay subscription aipothadi .... So ... Modalo stories kosam ee app ni install cheyakandi ....... Edo peda scam app guys...,-1
very worst app don't us anyone automatically is cut my account in my amount every month same problem I am uninstall in kuku FM but every month is cut my amount,-1
Nice,1
good explain with kuku fm,1
premium is a main problem,0
use less spam app u people are didecting the mony automatically from my account,-1
Superb,1
good,1
excellent,1
Very good lovely,1
good stories,1
"acca hai,but aur v information jarurat hai.",1
"2 times payments are failed, money not refunded",1
She was is very good app,1
This is a business goal,-1
Nice wark,1
Money loss app,-1
nice app,1
good app,1
Am not interested,-1
best app,1
This is so beautiful,1
worst app in the world money only focus app autopay froud appa,-1
its need much more top up coin,1
Good,1
yes learn more,1
Nice aap,1
twuaiw,1
Nice app,1
"kisi tarah ka trial start nhi ho Raha he 2 rs me, 399 rs hi account se katne ka message aa raha he..",-1
West app automatic 399 money cut without permission.autopay avthundhi ani chepthunaru manam pack select chesukokunda ela chestharu 3 months pack recharge aipoundhi .3moths kavali ani manam select chesukovali mana permission lekunda ani months kavali ela select chestharu.first 2 ani chepi reacharge option peduthunaru dhani autopay active avthundhi next .manam select chesukikundane 3months valaki istam vachina app vale select chesukoni autopay undhi kabati cut avthunayi,-1
superb story and dubbing sound,1
good,1
The audio books is too short compared to the original one.,0
good,1
Nice,1
very nice,1
Its very good app,1
very good,1
like this app,1
Watch using coin this is irritating.,0
Good,1
T yy iitgu is GM ki day hn ki ya sh ki ye see kmi e em ki EQ with tech me Ram ji EQ RN hu hm log ka su byy ho wa Y TV vu hm log se mi ka ek ke wo isliye Aaj indr garmi iden kisko plan byy arm kab nu raat is arj kiya hoh toh nhi na to kundali matching my profile and would love to have heard about this is not gonna reply using hai hai hai hai hai Khao hai ki kya hoti hain maine kaha tak uchit hai ya nahi yah to kundali men hai mahilaon ko ijjat ka khatra kam honge vo dhamakedar khiladi bhi shamil,0
Love it,1
KOMAL BURH,1
bahut Khoobsurat kahani hai sunane mein bahut hi achcha bahut maja aaya bahut interesting hai main chahta Hun yah kahani Ko pura sunte raho mujhe bahut achcha lag Rahi hai kahani bahut bahut achcha hai Kitna Sundar jitne bhi sun rahe ho Na Mane Mera Dil nahin l Mera Dil janiya main sunte jao sunte jao sunti jao bahut accha bahut hi interesting hai yah kahani pahli bar sun rahi hoon isase pahle Kai tarah Ki Love Story suni hai Maine lekin yah ek X ke sath Insan Ki kahani hai pehli Baar song ye,1
excellent touch of Krishna blessings,1
good,1
Good,1
somveer,-1
nice,1
tont work,1
nice,-1
good,1
Awesome,1
good,1
Super,1
Very Nice application,1
ads. me dikhto ho ki free hai or app download karne ke baad premium karne ko kahte ho lo mutt diya aise app par uninstall karke,-1
this app is totally froud in payment time because without asked cut my money 399 rupees and 200,-1
horrible experience..can't stop my auto pay..if i want to cancel it took another 499...very bad app...very poor service...there is no customer service..whenever I open the app my ph is getting slow down...horrible...,-1
Nise,1
fake app your self only you will set and will do people amount simply it's not good go head,-1
super kuku Fm app,1
Remove the VIP purchase section,-1
very nice app,1
good,1
good,1
fek app,-1
Good,1
Nice,1
Great fm,1
just quality clear,1
life change.....it,1
Good application,1
while activating subscription site works but when you try to cancel it they say no ip address found,-1
Good app,1
Automatic debited,-1
nice,0
kuku,1
Nice,1
Good,1
bakbas,-1
"please improve your content and add more books like sapiens, a brief history of time, scientific books",0
very nice,1
"no customer care, no live assistance, my money got deducted I requested for refund but no response from company side..only chat boat assistance my amount of 399/- got deducted via autopay..I am not interested about the content..",-1
This app is amazing,1
nice,1
I am unable to play any audiobook on the app. Have reinstalled the app but still problem persists.,-1
Pardeep Kumar,1
Money and work spent on marketing and advertising 99%. Money and work spent on actual content 1%,-1
Fraud this app automatically cutting bank account in money,-1
Just Refund my Amount Please After debiting Amount it is not activating Subscription Waste of Time waste of money,-1
Nice,1
super,1
Baje app,-1
Good,1
"Such a bad experience, they didn't refund my money",-1
ok...,1
bekar hai story jaldi upload nahi karta takatwar Yodha,-1
Nice,1
Verry nice,1
good,1
bakwas,-1
"Veeripuka,redpus u have no manner ur advatises loudaka bal kuku fm",-1
Pretty good content. could have more!,1
nice stories,1
Superbb,1
amazing app nice mashallah I like it last time I have unsubscribe this app for my personal issues the then they return my refund nice service all of u keep it up always,1
bad,-1
waste fradu app without my permission they debited 399rupees,-1
Good,1
bhut badiya,-1
Excellent,1
nice,1
"Hello kuku fm, You are best adio platform but first time happened with me i was get premium of 1 month but, happened something wrong my premium option was hide please man help me... Name =MORE_EMPIRE",0
Md Saaban,1
good,1
Nice,1
I am Armab Bhattacharjee..1st of June 2025 Rs 499 deducted from SBI account automatically...I don't know why..I didn't do any subscription or any type of payment through online payment..I want my money Rs 499 refund..I think this icompany is reputed company if am not wrong I will gist my money R's 499 return backi..And please deactivate the subscription which is not done my me and please refund the money Rs 499...,-1
Worst app.,-1
great app,1
verry worst app and responding and refund not good,-1
nice app,1
Very nice app,1
bakwas app hy auto pay ka option de kr Paisa account se khali kr deta hy koi mt download Krna ase bakwas app walo pe complete honi chahiye,-1
Very interesting,1
Nice it is,1
good,1
Very nice,1
Very informative,1
Worst of time,-1
love it,1
wow,-1
very nice,1
My money auto debit 399 please help me stop auto debit my money account send me,-1
bahut achcha,1
very good application for book listen,1
good,1
bad,-1
Useless,-1
good,1
Sabse bekar aap yahi hai bina parmission ke paise kat leta hai ise kya reviews du 0 hai meri tarf se sabse bekar aap payment bapsh tak nahi kiya,-1
bhot bakawas chii chii bina pese ke story hi nhi h behuda mjaak,-1
Very good and nice app,1
very good,-1
Such an superb app. Hearing exclusive stories through voice and sound track.,1
Good,1
Nic,1
Worst app in the world it will auto pay our money without recieving even a message also and dont download it waste of money and very worst response to us and dont download it its my request,-1
good,1
It is bad app it doesn't give anything in free,-1
madt,1
i can't cancel my subscription. In new version there is not any kind of section to cancel their auto pay.,-1
jordaar,1
good,1
Good,1
Nice,0
New kuku fm super,1
good,1
Super,1
very nice stories,1
"This app is froud. Ye app automatic account se rupya kat leta hai. mera 299 rupya automatic kat liya hai. So,ye app download nahi karna. Thank you.",-1
They can solve Technical error soon ..This is useless platform.. episode will not sound properly along with its paid platefor. Money will be deducted and there is no customer helpline no. Neither mail support for it ..i suggested to everyone don't make account on it .. it's time consuming and wastage of time plateform...Totally baker (bad ) platform I think pocket fm is better then it,-1
Nice,1
Awsm,1
amount waste,-1
Yeah It's good. Really great,1
mujhe coin chahie,-1
waste of money,-1
Nice kuku fm,1
Block,-1
I took a trial pack of a week and they jst auto debited my account without any confirmation.you jst asked to pay only 2 / rs which was refundebal then how did you debit the amount of 399/- from my account.i did not take any package of your app...pls refund my money back...,-1
A.k,1
listening..but point not increasing why?,1
"Awesome app, everything works quite well and content is simply the best especially the bhagwat Geeta...",1
bad,-1
free trail,0
Good,1
nice it is very good,1
Best,1
this is my fevret seireis,1
This is too good,1
good,-1
very good kuku fm,1
Yah duniya ka sabse ghatiya app hai is app ne mere paise episode ke jaise 19 rupay karte samay pichhle dekhe hue apps episode ke paas hai hamen yah chhod deta hai FIR ham dekhte hain ki hamara 19 Pani mein,-1
worst app in my life,-1
good,1
Best kuku Fm,1
Best,1
Nice,1
autopsy se paise kut kar lete hai ghir refund bhi nahi karte very bad aap refund my money back chat per bolte hai 3to5days me ho jayega aaj 7days ho gaye hai refund nahi kar rahe mere paise,-1
perfect audio listening app,1
Good,1
bhai log ismein recharge mat karo na isko chalao yah bahut Ganda Hai aap recharge nahin bhi karoge har mahine ke 299 Kat denge aur refund bhi nahin karenge aur Main bhugat Raha Hun 3 mahine pehle 299 Kate the aur Aaj mere 299 Kate Hain 2025 10 tarikh paanchva Mahina aise to yah ek star ke bhi layak nahin Hai,-1
Lowda lo app waste app automatic amount cutting,-1
bad,-1
it's good,1
Good,1
Osm,1
Bast story's,1
good I like this more,1
this unforgivable waste of u r time don't install this app fake promises and,-1
good,1
good,1
BEST APP,1
Nice,1
Good,1
forot he account se pement cate ga Ben karo,-1
vice best,1
Please stop automatically starting subscription after download. My 499 rs debitade without my concern.,-1
free fire laver,1
Nice story,1
Good,1
"I am downloading this because I always listen in Instagram so,now I would like to try",0
I like it,1
excellent messages,1
"Very nice to listen,I always enjoy listening new stories.",1
worst app,-1
very nice,1
nic app,1
Mast,1
Superrrrr,1
"I cannot unsubscribe. Whenever i tap, they show ""Cancellation of subscription was unsuccessful"" Worst app.",-1
Very good,1
Worest apps,-1
Very helpful,1
Before I can listen some of stories for free but now anything you want to listen you have to buy subscription,-1
Good app,1
3rd class and money fraude,-1
Happy,1
Great stories easy to listen to and relaxing voices,1
Great app when it working properly great app for audiobook,1
Good stroy,1
super,1
auto pay disappointed me,1
nice,1
good,1
not like,-1
okok,1
Nice app iam still using this app now,0
Excellent,1
I can't make payment in Gpay as it is asking additional UPI IDs. Is there any option in the app to create my own audio stories? I can't find one.,-1
nice app,1
Raj sisodiya,1
"Nah, this app ain't worth it, man. I was hooked on this story, made it all the way to episode 356, even paid for the premium account, which is like ten bucks a week, no joke. But guess what? Now the store is locked, and I can only listen to the first five episodes unless I pay even more. What a rip-off! Don't waste your time with this app.",-1
super,-1
nice,1
best,1
Tnx you,1
Nice,1
Super experience in this app,1
If your smart then don't take primium .,-1
best,1
background music not good,0
super,1
good app,1
very much useful app,1
Nice stories,1
its good,1
good,1
"there is a problem with the app. i uninstalled the app but it still took payment from my bank account even thought i uninstalled the app.it took 4 months subscription payment even thought i did not want it . when i tried to reach out i couldn't ,there mail box is not working and tried to contact through there platform but they are sending me there chat bot link for help when it doesn't even help with this problem",-1
Waste,-1
super,1
good to learn and improve yourself,1
Gud,1
Very worst ketkamay 399 debit achum account la irunthu auto pay nalum verify panna mattanga,-1
nice,1
